ID_Venda;Valor_Desconto;Qtde_Vendido;Valor_Retorno;Total_Venda;Custo_Unitario;Preço_uni;Data_Venda;Id-Canal;Id_Produto;Id_Promocao
76;42,899999999999999;12;0;5105,1000000000004;197,28;429;30/06/2012;1;283;21
195;62,549999999999997;26;0;3551,4499999999998;70,870000000000005;139;04/10/2012;1;597;14
348;0;10;0;4290;197,28;429;25/02/2013;3;283;1
633;0;10;0;6890;316,85000000000002;689;09/01/2012;3;234;1
856;27,800000000000001;24;0;3308,1999999999998;70,870000000000005;139;05/07/2011;1;609;21
1063;0;15;0;3448,5;117,20999999999999;229,90000000000001;18/06/2013;1;441;1
1280;0;20;0;2780;70,870000000000005;139;12/06/2013;3;632;1
1314;0;10;0;4290;197,28;429;16/04/2012;1;257;1
1347;0;20;0;4598;117,20999999999999;229,90000000000001;23/07/2011;3;453;1
1348;42,899999999999999;9;429;3818,0999999999999;197,28;429;20/04/2013;2;283;18
1426;275,60000000000002;12;0;7992,3999999999996;316,85000000000002;689;13/12/2011;1;234;3
1462;0;10;289;2890;132,90000000000001;289;22/11/2011;1;1412;1
1499;39,899999999999999;12;0;4748,1000000000004;183,49000000000001;399;30/10/2013;1;274;3
1746;40;12;0;2360;91,969999999999999;200;22/11/2011;1;1441;12
1944;36,899999999999999;36;0;13247,1;188,13;369;29/04/2013;1;431;3
1962;0;10;0;3690;188,13;369;16/10/2013;1;436;1
2014;0;20;229,90000000000001;4598;117,20999999999999;229,90000000000001;27/02/2012;1;441;1
2071;0;5;0;695;70,870000000000005;139;30/11/2012;2;585;1
2072;0;5;0;695;70,870000000000005;139;16/06/2011;1;585;1
2075;41,700000000000003;6;0;792,29999999999995;70,870000000000005;139;21/03/2011;1;573;3
2142;0;10;289;2890;132,90000000000001;289;16/10/2012;1;1412;1
2240;0;10;399;3990;183,49000000000001;399;10/10/2013;1;248;1
2503;0;5;0;695;70,870000000000005;139;14/01/2011;1;632;1
2532;0;10;0;1390;70,870000000000005;139;13/03/2011;1;549;1
2855;0;15;0;3448,5;117,20999999999999;229,90000000000001;22/04/2013;1;458;1
2942;0;10;0;5290;243,27000000000001;529;06/08/2012;1;276;1
2987;73,799999999999997;36;0;13210,200000000001;188,13;369;05/01/2011;1;425;3
3023;139,80000000000001;12;0;8248,2000000000007;321,44;699;07/08/2011;1;225;12
3091;0;10;0;5290;243,27000000000001;529;09/09/2011;3;250;1
3167;0;20;0;2780;70,870000000000005;139;19/05/2013;2;609;1
3262;0;20;0;2780;70,870000000000005;139;07/04/2011;1;573;1
3329;68,969999999999999;18;0;4069,23;117,20999999999999;229,90000000000001;23/01/2011;1;441;3
3365;36,899999999999999;18;0;6605,1000000000004;188,13;369;11/05/2011;4;419;18
3494;0;10;139;1390;70,870000000000005;139;29/05/2011;2;597;1
3561;279,60000000000002;24;0;16496,400000000001;321,44;699;16/12/2013;2;209;3
3670;114,95;36;0;8161,4499999999998;117,20999999999999;229,90000000000001;11/12/2012;4;458;3
3712;68,900000000000006;12;0;8199,1000000000004;316,85000000000002;689;09/12/2013;1;202;12
3757;171,59999999999999;12;0;4976,3999999999996;197,28;429;12/08/2011;1;270;12
3870;0;6;0;990;75,879999999999995;165;16/09/2013;1;947;3
3873;369;54;0;19557;188,13;369;09/12/2011;2;431;18
3892;0;10;0;3390;155,88999999999999;339;20/04/2013;1;247;1
3894;0;15;0;3448,5;117,20999999999999;229,90000000000001;07/09/2013;1;458;1
3911;0;10;0;1390;70,870000000000005;139;07/08/2013;1;549;1
4017;68,969999999999999;24;0;5448,6300000000001;117,20999999999999;229,90000000000001;23/09/2013;1;453;12
4114;0;20;0;2780;70,870000000000005;139;18/09/2013;1;632;1
4222;0;20;0;4598;117,20999999999999;229,90000000000001;30/08/2013;1;453;1
4278;0;10;0;6890;316,85000000000002;689;18/01/2012;1;202;1
4309;0;5;0;695;70,870000000000005;139;30/07/2013;1;549;1
4617;0;5;0;1000;91,969999999999999;200;14/05/2013;4;1441;1
4684;0;10;0;6890;316,85000000000002;689;16/03/2012;1;234;1
4798;0;5;0;695;70,870000000000005;139;15/10/2013;1;621;1
5115;0;10;0;6990;321,44;699;27/05/2011;4;201;1
5230;0;10;0;3990;183,49000000000001;399;14/11/2013;1;274;1
5515;0;10;0;3990;183,49000000000001;399;07/02/2013;1;261;1
5577;0;30;0;6897;117,20999999999999;229,90000000000001;06/03/2011;2;453;1
5612;68,900000000000006;12;0;8199,1000000000004;316,85000000000002;689;22/08/2012;3;218;3
5815;0;10;0;3990;183,49000000000001;399;18/08/2012;1;261;1
5835;0;10;0;3990;183,49000000000001;399;12/09/2012;4;248;1
6007;0;10;0;6890;316,85000000000002;689;13/01/2012;1;202;1
6142;39,899999999999999;12;0;4748,1000000000004;183,49000000000001;399;26/05/2013;1;261;3
6190;0;60;0;22140;188,13;369;23/10/2013;3;436;1
6230;0;10;0;3635;185,31999999999999;363,5;02/04/2011;1;355;1
6474;0;9;0;6291;321,44;699;07/12/2013;1;209;27
6538;0;10;699;6990;321,44;699;04/08/2011;1;217;1
6589;0;10;0;3990;183,49000000000001;399;07/02/2011;2;287;1
6754;0;9;0;6291;321,44;699;24/11/2011;1;217;18
6903;343,19999999999999;36;0;15100,799999999999;197,28;429;08/08/2011;2;244;21
7003;0;10;0;1390;70,870000000000005;139;18/02/2012;2;585;1
7095;183,91999999999999;96;0;21886,48;117,20999999999999;229,90000000000001;25/02/2011;2;458;12
7251;0;10;0;1390;70,870000000000005;139;08/02/2012;1;632;1
7406;0;12;0;5148;197,28;429;26/02/2011;1;244;3
7427;237,30000000000001;36;339;11966,700000000001;155,88999999999999;339;02/05/2011;2;247;21
7480;91,959999999999994;24;0;5425,6400000000003;117,20999999999999;229,90000000000001;25/06/2012;1;458;12
7499;0;10;0;4290;197,28;429;31/08/2012;1;270;1
7533;13,9;6;0;820,10000000000002;70,870000000000005;139;06/06/2012;3;549;3
7645;0;10;0;6990;321,44;699;20/03/2013;1;225;1
7732;0;10;0;6890;316,85000000000002;689;22/11/2013;1;234;1
7773;0;10;0;2000;91,969999999999999;200;07/07/2011;1;1441;1
7786;0;5;139;695;70,870000000000005;139;13/09/2012;1;549;1
7787;0;30;0;11070;188,13;369;04/05/2012;1;425;1
7875;0;5;0;695;70,870000000000005;139;01/04/2013;1;597;1
7975;0;5;0;695;70,870000000000005;139;19/06/2013;1;597;1
8416;0;10;0;5290;243,27000000000001;529;27/01/2011;4;250;1
8479;128,69999999999999;12;0;5019,3000000000002;197,28;429;22/08/2013;1;270;3
8856;22,989999999999998;24;0;5494,6099999999997;117,20999999999999;229,90000000000001;06/03/2013;1;458;12
8992;0;10;0;4290;197,28;429;27/02/2011;1;257;1
9516;0;10;0;6890;316,85000000000002;689;24/04/2013;1;202;1
9564;0;12;0;5148;197,28;429;09/09/2012;1;244;12
9708;0;10;0;4290;197,28;429;02/11/2011;1;244;1
9714;0;5;0;695;70,870000000000005;139;08/12/2013;1;632;1
9834;68,900000000000006;12;0;8199,1000000000004;316,85000000000002;689;30/04/2013;4;202;21
9840;0;5;0;695;70,870000000000005;139;01/06/2012;2;585;1
9948;0;5;0;825;75,879999999999995;165;16/06/2013;1;947;1
10130;0;5;0;695;70,870000000000005;139;08/01/2013;1;597;1
10134;0;10;0;3990;183,49000000000001;399;30/04/2012;1;274;1
10181;0;10;0;6990;321,44;699;21/09/2013;2;225;1
10196;0;20;0;8580;197,28;429;06/07/2012;1;244;1
10253;0;20;399;7980;183,49000000000001;399;17/07/2011;2;287;1
10272;0;5;0;695;70,870000000000005;139;17/12/2012;1;549;1
10380;0;20;0;7380;188,13;369;27/12/2012;1;419;1
10580;0;10;0;3390;155,88999999999999;339;20/01/2013;4;247;1
10713;209,69999999999999;12;0;8178,3000000000002;321,44;699;10/03/2012;1;201;12
10774;343,19999999999999;48;429;20248,799999999999;197,28;429;24/12/2012;3;270;3
10917;22,989999999999998;18;0;4115,21;117,20999999999999;229,90000000000001;22/04/2011;1;453;3
11717;171,59999999999999;12;429;4976,3999999999996;197,28;429;28/01/2012;1;270;21
11782;0;10;0;2000;91,969999999999999;200;13/03/2012;4;1441;1
11915;0;10;0;3990;183,49000000000001;399;10/09/2011;2;274;1
12148;0;30;0;11070;188,13;369;13/11/2012;1;436;1
12376;22,989999999999998;24;0;5494,6099999999997;117,20999999999999;229,90000000000001;01/08/2012;1;441;12
12392;82;12;0;2378;94,269999999999996;205;01/05/2013;1;1312;21
12443;0;10;0;3390;155,88999999999999;339;20/05/2012;1;286;1
12461;41,700000000000003;12;0;1626,3;70,870000000000005;139;16/09/2012;4;621;12
12530;0;20;139;2780;70,870000000000005;139;01/01/2012;2;609;1
12581;0;5;0;695;70,870000000000005;139;13/08/2012;1;597;1
12605;0;20;0;7980;183,49000000000001;399;22/08/2013;3;248;1
12901;0;40;229,90000000000001;9196;117,20999999999999;229,90000000000001;28/06/2013;2;453;1
13172;0;20;0;7380;188,13;369;14/10/2012;3;425;1
13178;0;10;0;3990;183,49000000000001;399;28/12/2011;1;287;1
13180;0;10;0;6990;321,44;699;18/05/2011;1;201;1
13196;0;20;0;4598;117,20999999999999;229,90000000000001;26/04/2013;1;441;1
13451;0;30;0;11070;188,13;369;10/01/2012;3;419;1
13554;73,799999999999997;72;0;26494,200000000001;188,13;369;16/07/2012;2;436;12
13649;0;15;0;3448,5;117,20999999999999;229,90000000000001;30/01/2013;1;441;1
13739;0;36;0;13284;188,13;369;18/12/2013;1;425;3
13999;0;10;0;3390;155,88999999999999;339;27/07/2012;1;286;1
14047;41,700000000000003;48;0;6630,3000000000002;70,870000000000005;139;02/04/2011;4;573;21
14164;36,899999999999999;36;0;13247,1;188,13;369;13/06/2013;1;436;3
14238;0;24;0;8856;188,13;369;05/10/2013;1;425;12
14341;0;20;0;4000;91,969999999999999;200;22/05/2011;1;1441;1
14528;0;10;0;6890;316,85000000000002;689;11/08/2013;1;218;1
14586;0;5;0;695;70,870000000000005;139;04/07/2012;3;609;1
14700;0;5;0;825;75,879999999999995;165;24/11/2013;1;947;1
14729;0;20;689;13780;316,85000000000002;689;16/09/2012;2;234;1
14732;69,5;24;139;3266,5;70,870000000000005;139;22/05/2013;1;561;12
14883;0;20;0;4598;117,20999999999999;229,90000000000001;17/09/2013;1;441;1
14924;0;6;0;834;70,870000000000005;139;09/06/2013;1;609;1
15038;111,2;12;0;1556,8;70,870000000000005;139;05/05/2011;3;609;3
15221;0;10;0;5290;243,27000000000001;529;21/04/2013;1;263;1
15500;42,899999999999999;12;0;5105,1000000000004;197,28;429;03/02/2011;1;244;3
15800;13,9;6;0;820,10000000000002;70,870000000000005;139;07/09/2011;1;632;3
15837;0;5;0;695;70,870000000000005;139;15/02/2012;1;609;1
15853;0;5;0;695;70,870000000000005;139;30/10/2013;1;573;1
15870;27,800000000000001;4;0;528,20000000000005;70,870000000000005;139;25/06/2013;1;621;9
16282;0;10;399;3990;183,49000000000001;399;22/11/2013;2;261;1
16416;105,8;12;0;6242,1999999999998;243,27000000000001;529;13/12/2012;1;289;21
16726;0;10;0;3635;185,31999999999999;363,5;31/05/2013;1;355;1
16853;0;5;0;695;70,870000000000005;139;06/12/2013;1;573;1
17129;147,59999999999999;36;0;13136,4;188,13;369;02/12/2012;1;419;3
17152;128,69999999999999;12;0;5019,3000000000002;197,28;429;15/04/2013;1;270;3
17198;41,700000000000003;6;139;792,29999999999995;70,870000000000005;139;07/03/2013;3;609;3
17203;0;5;0;695;70,870000000000005;139;28/04/2013;1;609;1
17322;0;5;139;695;70,870000000000005;139;10/04/2012;3;549;1
17338;0;10;0;3390;155,88999999999999;339;07/07/2013;1;286;1
17355;0;10;0;3390;155,88999999999999;339;14/04/2011;1;286;1
17598;86,700000000000003;24;0;6849,3000000000002;132,90000000000001;289;23/06/2011;2;1412;3
17624;0;9;0;6201;316,85000000000002;689;05/02/2013;2;234;9
17639;0;10;0;6990;321,44;699;19/10/2013;1;225;1
17782;69,900000000000006;12;699;8318,1000000000004;321,44;699;05/06/2011;2;209;12
17889;211,59999999999999;12;0;6136,3999999999996;243,27000000000001;529;06/04/2012;1;263;21
17890;0;10;0;5290;243,27000000000001;529;21/10/2012;1;250;1
17915;0;10;0;3990;183,49000000000001;399;17/07/2012;1;261;1
18256;0;20;0;2780;70,870000000000005;139;22/01/2013;4;632;1
18288;45,979999999999997;24;0;5471,6199999999999;117,20999999999999;229,90000000000001;06/01/2013;3;458;12
18683;0;10;0;6990;321,44;699;22/04/2012;4;201;1
18720;0;10;0;3990;183,49000000000001;399;06/03/2013;3;261;1
18752;0;10;0;4290;197,28;429;23/05/2012;1;257;1
18883;559,20000000000005;18;699;12022,799999999999;321,44;699;09/12/2011;2;225;18
19052;0;20;0;7380;188,13;369;07/01/2013;1;425;1
19057;0;30;0;11070;188,13;369;24/01/2012;1;436;1
19158;0;10;0;4290;197,28;429;17/09/2013;1;270;1
19337;0;30;0;11070;188,13;369;11/01/2012;1;431;1
19589;0;20;0;7980;183,49000000000001;399;30/06/2011;3;274;1
19649;0;12;0;4788;183,49000000000001;399;12/05/2013;1;274;12
19744;0;12;0;8268;316,85000000000002;689;09/04/2011;1;234;3
19761;0;30;369;11070;188,13;369;19/10/2013;1;436;1
19837;73,799999999999997;18;0;6568,1999999999998;188,13;369;09/05/2011;2;431;18
19894;0;10;0;6890;316,85000000000002;689;13/04/2012;1;218;1
20049;0;15;0;3448,5;117,20999999999999;229,90000000000001;13/09/2013;1;458;1
20327;13,9;12;0;1654,0999999999999;70,870000000000005;139;29/10/2013;1;573;12
20425;0;10;0;6990;321,44;699;22/07/2012;1;233;1
20482;0;5;0;695;70,870000000000005;139;02/10/2013;1;573;1
20524;0;5;0;695;70,870000000000005;139;06/02/2012;1;597;1
20585;0;30;0;11070;188,13;369;31/08/2012;1;431;1
20789;68,900000000000006;12;0;8199,1000000000004;316,85000000000002;689;28/03/2012;1;218;12
20966;147,59999999999999;36;0;13136,4;188,13;369;12/04/2011;1;425;3
20967;0;6;0;834;70,870000000000005;139;05/03/2011;1;597;3
20973;0;15;0;3448,5;117,20999999999999;229,90000000000001;25/01/2012;1;458;1
